城市,经度,纬度,人口
"Youngstown, OH",-80.65,41.1,115.436
"Yankton, SD",-97.39,42.88,12.011
"Yakima, WA",-120.51,46.6,49.826
"Worcester, MA",-71.8,42.27,161.799
"Wisconsin Dells, WI",-89.77,43.63,2.521
"Winston-Salem, NC",-80.25,36.1,131.885
"Winnipeg, MB",-97.15,49.88,564.473
"Winchester, VA",-78.16,39.19,20.217
"Wilmington, NC",-77.92,34.24,139.238
"Wilmington, DE",-75.55,39.75,70.195
"Williston, ND",-103.62,48.15,13.336
"Williamsport, PA",-77.0,41.25,33.401
"Williamson, WV",-82.28,37.68,5.219
"Wichita Falls, TX",-98.49,33.9,94.201
"Wichita, KS",-97.34,37.69,279.835
"Wheeling, WV",-80.72,40.07,43.07
"West Palm Beach, FL",-80.05,26.72,63.305
"Wenatchee, WA",-120.32,47.42,17.257
"Weed, CA",-122.39,41.42,2.879
"Waycross, GA",-82.35,31.22,19.371
"Wausau, WI",-89.64,44.96,32.426
"Waukegan, IL",-87.83,42.36,67.653
"Watertown, SD",-97.11,44.9,15.649
"Watertown, NY",-75.92,43.98,27.861
"Waterloo, IA",-92.34,42.5,75.985
"Waterbury, CT",-73.05,41.55,103.266
"Washington, DC",-77.03,38.89,638.432
"Warren, PA",-79.14,41.85,12.146
"Walla Walla, WA",-118.33,46.07,25.618
"Waco, TX",-97.14,31.55,101.261
"Vincennes, IN",-87.53,38.68,20.857
"Victoria, TX",-97.01,28.81,50.695
"Vicksburg, MS",-90.88,32.35,25.434
"Vancouver, BC",-123.12,49.27,414.281
"Valley City, ND",-98.01,46.92,7.774
"Valdosta, GA",-83.28,30.83,37.596
"Utica, NY",-75.23,43.11,75.632
"Uniontown, PA",-79.73,39.9,14.51
"Tyler, TX",-95.3,32.35,70.508
"Twin Falls, ID",-114.47,42.56,26.209
"Tuscaloosa, AL",-87.57,33.21,75.211
"Tupelo, MS",-88.71,34.26,23.905
"Tulsa, OK",-95.91,36.16,360.919
"Tucson, AZ",-110.97,32.22,330.537
