Date,EventDate,Event,Site,ECO,White,Black,Round,Result
1886.01.11,1886.01.11,World Championship 1st,USA,D11,"Zukertort, Johannes H","Steinitz, Wilhelm",1,0-1
1886.01.13,1886.01.11,World Championship 1st,USA,C47,"Steinitz, Wilhelm","Zukertort, Johannes H",2,0-1
1886.01.15,1886.01.11,World Championship 1st,USA,D10,"Zukertort, Johannes H","Steinitz, Wilhelm",3,1-0
1886.01.18,1886.01.11,World Championship 1st,USA,C67,"Steinitz, Wilhelm","Zukertort, Johannes H",4,0-1
1886.01.20,1886.01.11,World Championship 1st,USA,D10,"Zukertort, Johannes H","Steinitz, Wilhelm",5,1-0
1886.02.03,1886.01.11,World Championship 1st,USA,C67,"Steinitz, Wilhelm","Zukertort, Johannes H",6,1-0
1886.02.05,1886.01.11,World Championship 1st,USA,D40,"Zukertort, Johannes H","Steinitz, Wilhelm",7,0-1
1886.02.08,1886.01.11,World Championship 1st,USA,C67,"Steinitz, Wilhelm","Zukertort, Johannes H",8,1/2-1/2
1886.02.10,1886.01.11,World Championship 1st,USA,D26,"Zukertort, Johannes H","Steinitz, Wilhelm",9,0-1
1886.02.26,1886.01.11,World Championship 1st,USA,C67,"Steinitz, Wilhelm","Zukertort, Johannes H",10,1/2-1/2
1886.03.01,1886.01.11,World Championship 1st,USA,C49,"Zukertort, Johannes H","Steinitz, Wilhelm",11,0-1
1886.03.03,1886.01.11,World Championship 1st,USA,C67,"Steinitz, Wilhelm","Zukertort, Johannes H",12,1-0
1886.03.05,1886.01.11,World Championship 1st,USA,D26,"Zukertort, Johannes H","Steinitz, Wilhelm",13,1-0
1886.03.12,1886.01.11,World Championship 1st,USA,C67,"Steinitz, Wilhelm","Zukertort, Johannes H",14,1/2-1/2
1886.03.15,1886.01.11,World Championship 1st,USA,D50,"Zukertort, Johannes H","Steinitz, Wilhelm",15,1/2-1/2
1886.03.17,1886.01.11,World Championship 1st,USA,C65,"Steinitz, Wilhelm","Zukertort, Johannes H",16,1-0
1886.03.19,1886.01.11,World Championship 1st,USA,D60,"Zukertort, Johannes H","Steinitz, Wilhelm",17,1/2-1/2
1886.03.22,1886.01.11,World Championship 1st,USA,C65,"Steinitz, Wilhelm","Zukertort, Johannes H",18,1-0
1886.03.24,1886.01.11,World Championship 1st,USA,D53,"Zukertort, Johannes H","Steinitz, Wilhelm",19,0-1
1886.03.29,1886.01.11,World Championship 1st,USA,C25,"Steinitz, Wilhelm","Zukertort, Johannes H",20,1-0
1889.01.20,1889.01.20,World Championship 2nd,Havana CUB,C52,"Chigorin, Mikhail I","Steinitz, Wilhelm",1,1-0
1889.01.22,1889.01.20,World Championship 2nd,Havana CUB,D02,"Steinitz, Wilhelm","Chigorin, Mikhail I",2,1-0
1889.01.24,1889.01.20,World Championship 2nd,Havana CUB,C62,"Chigorin, Mikhail I","Steinitz, Wilhelm",3,1-0
1889.01.26,1889.01.20,World Championship 2nd,Havana CUB,D02,"Steinitz, Wilhelm","Chigorin, Mikhail I",4,1-0
1889.01.27,1889.01.20,World Championship 2nd,Havana CUB,C52,"Chigorin, Mikhail I","Steinitz, Wilhelm",5,0-1
1889.01.29,1889.01.20,World Championship 2nd,Havana CUB,D02,"Steinitz, Wilhelm","Chigorin, Mikhail I",6,0-1
1889.01.31,1889.01.20,World Championship 2nd,Havana CUB,C52,"Chigorin, Mikhail I","Steinitz, Wilhelm",7,1-0
1889.02.04,1889.01.20,World Championship 2nd,Havana CUB,D46,"Steinitz, Wilhelm","Chigorin, Mikhail I",8,1-0
1889.02.05,1889.01.20,World Championship 2nd,Havana CUB,C52,"Chigorin, Mikhail I","Steinitz, Wilhelm",9,0-1
1889.02.08,1889.01.20,World Championship 2nd,Havana CUB,D07,"Steinitz, Wilhelm","Chigorin, Mikhail I",10,1-0
1889.02.10,1889.01.20,World Championship 2nd,Havana CUB,C52,"Chigorin, Mikhail I","Steinitz, Wilhelm",11,1-0
1889.02.12,1889.01.20,World Championship 2nd,Havana CUB,D07,"Steinitz, Wilhelm","Chigorin, Mikhail I",12,1-0
1889.02.16,1889.01.20,World Championship 2nd,Havana CUB,C52,"Chigorin, Mikhail I","Steinitz, Wilhelm",13,1-0
1889.02.19,1889.01.20,World Championship 2nd,Havana CUB,D07,"Steinitz, Wilhelm","Chigorin, Mikhail I",14,1-0
1889.02.21,1889.01.20,World Championship 2nd,Havana CUB,C52,"Chigorin, Mikhail I","Steinitz, Wilhelm",15,0-1
1889.02.23,1889.01.20,World Championship 2nd,Havana CUB,A85,"Steinitz, Wilhelm","Chigorin, Mikhail I",16,1-0
1889.02.24,1889.01.20,World Championship 2nd,Havana CUB,C52,"Chigorin, Mikhail I","Steinitz, Wilhelm",17,1/2-1/2
1890.12.09,1890.12.09,World Championship 3rd,"New York, NY USA",D35,"Steinitz, Wilhelm","Gunsberg, Isidor A",1,1/2-1/2
1890.12.11,1890.12.09,World Championship 3rd,"New York, NY USA",C62,"Gunsberg, Isidor A","Steinitz, Wilhelm",2,0-1
1890.12.13,1890.12.09,World Championship 3rd,"New York, NY USA",D31,"Steinitz, Wilhelm","Gunsberg, Isidor A",3,1/2-1/2
1890.12.15,1890.12.09,World Championship 3rd,"New York, NY USA",C50,"Gunsberg, Isidor A","Steinitz, Wilhelm",4,1-0
1890.12.18,1890.12.09,World Championship 3rd,"New York, NY USA",D20,"Steinitz, Wilhelm","Gunsberg, Isidor A",5,0-1
1890.12.20,1890.12.09,World Championship 3rd,"New York, NY USA",D05,"Gunsberg, Isidor A","Steinitz, Wilhelm",6,0-1
1890.12.22,1890.12.09,World Championship 3rd,"New York, NY USA",E51,"Steinitz, Wilhelm","Gunsberg, Isidor A",7,1-0
1890.12.27,1890.12.09,World Championship 3rd,"New York, NY USA",C54,"Gunsberg, Isidor A","Steinitz, Wilhelm",8,1/2-1/2
1890.12.29,1890.12.09,World Championship 3rd,"New York, NY USA",D30,"Steinitz, Wilhelm","Gunsberg, Isidor A",9,1/2-1/2
1891.01.02,1890.12.09,World Championship 3rd,"New York, NY USA",C54,"Gunsberg, Isidor A","Steinitz, Wilhelm",10,0-1
1891.01.03,1890.12.09,World Championship 3rd,"New York, NY USA",D40,"Steinitz, Wilhelm","Gunsberg, Isidor A",11,1/2-1/2
1891.01.05,1890.12.09,World Championship 3rd,"New York, NY USA",C52,"Gunsberg, Isidor A","Steinitz, Wilhelm",12,1-0
1891.01.07,1890.12.09,World Championship 3rd,"New York, NY USA",D37,"Steinitz, Wilhelm","Gunsberg, Isidor A",13,1-0
1891.01.10,1890.12.09,World Championship 3rd,"New York, NY USA",C52,"Gunsberg, Isidor A","Steinitz, Wilhelm",14,1/2-1/2
1891.01.12,1890.12.09,World Championship 3rd,"New York, NY USA",E14,"Steinitz, Wilhelm","Gunsberg, Isidor A",15,1/2-1/2
1891.01.15,1890.12.09,World Championship 3rd,"New York, NY USA",C52,"Gunsberg, Isidor A","Steinitz, Wilhelm",16,1-0
1891.01.17,1890.12.09,World Championship 3rd,"New York, NY USA",D06,"Steinitz, Wilhelm","Gunsberg, Isidor A",17,1/2-1/2
1891.01.21,1890.12.09,World Championship 3rd,"New York, NY USA",C52,"Gunsberg, Isidor A","Steinitz, Wilhelm",18,0-1
1891.01.22,1890.12.09,World Championship 3rd,"New York, NY USA",D40,"Steinitz, Wilhelm","Gunsberg, Isidor A",19,1/2-1/2
1892.01.01,1892.01.01,World Championship 4th,Havana CUB,C52,"Chigorin, Mikhail I","Steinitz, Wilhelm",1,1-0
1892.01.03,1892.01.01,World Championship 4th,Havana CUB,C65,"Steinitz, Wilhelm","Chigorin, Mikhail I",2,1/2-1/2
1892.01.05,1892.01.01,World Championship 4th,Havana CUB,C52,"Chigorin, Mikhail I","Steinitz, Wilhelm",3,1/2-1/2
1892.01.07,1892.01.01,World Championship 4th,Havana CUB,C65,"Steinitz, Wilhelm","Chigorin, Mikhail I",4,1-0
1892.01.10,1892.01.01,World Championship 4th,Havana CUB,C52,"Chigorin, Mikhail I","Steinitz, Wilhelm",5,1/2-1/2
1892.01.12,1892.01.01,World Championship 4th,Havana CUB,C59,"Steinitz, Wilhelm","Chigorin, Mikhail I",6,1-0
1892.01.14,1892.01.01,World Championship 4th,Havana CUB,C52,"Chigorin, Mikhail I","Steinitz, Wilhelm",7,1-0
1892.01.16,1892.01.01,World Championship 4th,Havana CUB,C58,"Steinitz, Wilhelm","Chigorin, Mikhail I",8,0-1
1892.01.19,1892.01.01,World Championship 4th,Havana CUB,C52,"Chigorin, Mikhail I","Steinitz, Wilhelm",9,1/2-1/2
1892.01.21,1892.01.01,World Championship 4th,Havana CUB,C58,"Steinitz, Wilhelm","Chigorin, Mikhail I",10,0-1
1892.01.24,1892.01.01,World Championship 4th,Havana CUB,C62,"Chigorin, Mikhail I","Steinitz, Wilhelm",11,0-1
1892.01.26,1892.01.01,World Championship 4th,Havana CUB,C59,"Steinitz, Wilhelm","Chigorin, Mikhail I",12,0-1
1892.01.31,1892.01.01,World Championship 4th,Havana CUB,C52,"Chigorin, Mikhail I","Steinitz, Wilhelm",13,0-1
1892.02.02,1892.01.01,World Championship 4th,Havana CUB,C65,"Steinitz, Wilhelm","Chigorin, Mikhail I",14,1-0
1892.02.04,1892.01.01,World Championship 4th,Havana CUB,C52,"Chigorin, Mikhail I","Steinitz, Wilhelm",15,1-0
1892.02.07,1892.01.01,World Championship 4th,Havana CUB,C77,"Steinitz, Wilhelm","Chigorin, Mikhail I",16,1-0
1892.02.09,1892.01.01,World Championship 4th,Havana CUB,C52,"Chigorin, Mikhail I","Steinitz, Wilhelm",17,1-0
1892.02.14,1892.01.01,World Championship 4th,Havana CUB,A85,"Steinitz, Wilhelm","Chigorin, Mikhail I",18,1-0
1892.02.16,1892.01.01,World Championship 4th,Havana CUB,C45,"Chigorin, Mikhail I","Steinitz, Wilhelm",19,1-0
1892.02.18,1892.01.01,World Championship 4th,Havana CUB,D37,"Steinitz, Wilhelm","Chigorin, Mikhail I",20,1-0
1892.02.23,1892.01.01,World Championship 4th,Havana CUB,C25,"Chigorin, Mikhail I","Steinitz, Wilhelm",21,1/2-1/2
1892.02.25,1892.01.01,World Championship 4th,Havana CUB,D55,"Steinitz, Wilhelm","Chigorin, Mikhail I",22,1-0
1892.02.28,1892.01.01,World Championship 4th,Havana CUB,C34,"Chigorin, Mikhail I","Steinitz, Wilhelm",23,0-1
1894.03.15,1894.03.15,World Championship 5th,USA/CAN,C62,"Lasker, Emanuel","Steinitz, Wilhelm",1,1-0
1894.03.19,1894.03.15,World Championship 5th,USA/CAN,C65,"Steinitz, Wilhelm","Lasker, Emanuel",2,1-0
1894.03.21,1894.03.15,World Championship 5th,USA/CAN,C62,"Lasker, Emanuel","Steinitz, Wilhelm",3,1-0
1894.03.23,1894.03.15,World Championship 5th,USA/CAN,C54,"Steinitz, Wilhelm","Lasker, Emanuel",4,1-0
1894.03.27,1894.03.15,World Championship 5th,USA/CAN,C62,"Lasker, Emanuel","Steinitz, Wilhelm",5,1/2-1/2
1894.03.29,1894.03.15,World Championship 5th,USA/CAN,C54,"Steinitz, Wilhelm","Lasker, Emanuel",6,1/2-1/2
1894.04.03,1894.03.15,World Championship 5th,USA/CAN,C62,"Lasker, Emanuel","Steinitz, Wilhelm",7,1-0
1894.04.05,1894.03.15,World Championship 5th,USA/CAN,C10,"Steinitz, Wilhelm","Lasker, Emanuel",8,0-1
1894.04.14,1894.03.15,World Championship 5th,USA/CAN,C62,"Lasker, Emanuel","Steinitz, Wilhelm",9,1-0
1894.04.19,1894.03.15,World Championship 5th,USA/CAN,D35,"Steinitz, Wilhelm","Lasker, Emanuel",10,0-1
