前一站,后一站,地铁线,时间（分钟）
古城,八角游乐园,1,3
八角游乐园,八宝山,1,3
八宝山,玉泉路,1,3
玉泉路,五棵松,1,2
五棵松,万寿路,1,3
万寿路,公主坟,1,2
公主坟,军事博物馆,1,3
军事博物馆,木樨地,1,2
木樨地,南礼士路,1,2
南礼士路,复兴门,1,2
复兴门,西单,1,3
西单,天安门西,1,2
天安门西,天安门东,1,2
天安门东,王府井,1,2
王府井,东单,1,2
东单,建国门,1,2
建国门,永安里,1,3
永安里,国贸,1,2
国贸,大望路,1,2
大望路,四惠,1,3
四惠,四惠东,1,3
四惠东,高碑店,1,3
高碑店,传媒大学,1,3
传媒大学,双桥,1,2
双桥,管庄,1,3
管庄,八里桥,1,3
八里桥,通州北苑,1,3
通州北苑,果园,1,3
果园,九棵树,1,2
九棵树,梨园,1,2
梨园,临河里,1,2
临河里,土桥,1,2
土桥,花庄,1,3
花庄,环球度假区,1,3
积水潭,鼓楼大街,2,2
鼓楼大街,安定门,2,3
安定门,雍和宫,2,2
雍和宫,东直门,2,3
东直门,东四十条,2,2
东四十条,朝阳门,2,2
朝阳门,建国门,2,3
建国门,北京站,2,2
北京站,崇文门,2,2
崇文门,前门,2,3
前门,和平门,2,2
和平门,宣武门,2,2
宣武门,长椿街,2,2
长椿街,复兴门,2,2
复兴门,阜成门,2,3
阜成门,车公庄,2,2
车公庄,西直门,2,4
安河桥北,北宫门,4,1
北宫门,西苑,4,2
西苑,圆明园,4,3
圆明园,北京大学东门,4,3
北京大学东门,中关村,4,1
中关村,海淀黄庄,4,2
海淀黄庄,人民大学,4,3
人民大学,魏公村,4,1
魏公村,国家图书馆,4,3
国家图书馆,动物园,4,3
动物园,西直门,4,2
西直门,新街口,4,2
新街口,平安里,4,3
平安里,西四,4,2
西四,灵境胡同,4,2
灵境胡同,西单,4,2
西单,宣武门,4,2
宣武门,菜市口,4,2
菜市口,陶然亭,4,2
陶然亭,北京南站,4,3
北京南站,马家堡,4,3
马家堡,角门西,4,2
角门西,公益西桥,4,2
公益西桥,新宫,4,3
新宫,西红门,4,4
西红门,高米店北,4,3
高米店北,高米店南,4,2
高米店南,枣园,4,2
枣园,清源路,4,2
清源路,黄村西大街,4,3
黄村西大街,黄村火车站,4,2
黄村火车站,义和庄,4,3
义和庄,生物医药基地,4,3
生物医药基地,天宫院,4,3
宋家庄,刘家窑,5,3
刘家窑,蒲黄榆,5,2
蒲黄榆,天坛东门,5,3
天坛东门,磁器口,5,2
磁器口,崇文门,5,2
崇文门,东单,5,2
东单,灯市口,5,2
灯市口,东四,5,2
东四,张自忠路,5,3
张自忠路,北新桥,5,1
北新桥,雍和宫,5,2
雍和宫,和平里北街,5,3
和平里北街,和平西桥,5,2
和平西桥,惠新西街南口,5,2
惠新西街南口,惠新西街北口,5,2
惠新西街北口,大屯路东,5,3
大屯路东,北苑路北,5,3
北苑路北,立水桥南,5,2
立水桥南,立水桥,5,3
立水桥,天通苑南,5,2
天通苑南,天通苑,5,2
天通苑,天通苑北,5,2
金安桥,苹果园,6,2
苹果园,杨庄,6,2
杨庄,西黄村,6,3
西黄村,廖公庄,6,3
廖公庄,田村,6,3
田村,海淀五路居,6,3
海淀五路居,慈寿寺,6,3
慈寿寺,花园桥,6,2
花园桥,白石桥南,6,2
白石桥南,车公庄西,6,3
车公庄西,车公庄,6,2
车公庄,平安里,6,2
平安里,北海北,6,3
北海北,南锣鼓巷,6,2
南锣鼓巷,东四,6,3
东四,朝阳门,6,2
朝阳门,东大桥,6,3
东大桥,呼家楼,6,2
呼家楼,金台路,6,3
金台路,十里堡,6,3
十里堡,青年路,6,2
青年路,褡裢坡,6,3
褡裢坡,黄渠,6,2
黄渠,常营,6,3
常营,草房,6,2
草房,物资学院路,6,3
物资学院路,通州北关,6,3
通州北关,北运河西,6,3
北运河西,北运河东,6,2
北运河东,郝家府,6,2
郝家府,东夏园,6,3
东夏园,潞城,6,2
北京西站,湾子,7,2
湾子,达官营,7,2
达官营,广安门内,7,3
广安门内,菜市口,7,3
菜市口,虎坊桥,7,2
虎坊桥,珠市口,7,2
珠市口,桥湾,7,2
桥湾,磁器口,7,2
磁器口,广渠门内,7,2
广渠门内,广渠门外,7,3
广渠门外,双井,7,2
双井,九龙山,7,3
九龙山,大郊亭,7,2
大郊亭,百子湾,7,1
百子湾,化工,7,3
化工,南楼梓庄,7,2
南楼梓庄,欢乐谷景区,7,2
欢乐谷景区,垡头,7,2
垡头,双合,7,3
双合,焦化厂,7,2
焦化厂,黄厂,7,2
黄厂,郎辛庄,7,3
郎辛庄,黑庄户,7,3
黑庄户,万盛西,7,3
万盛西,万盛东,7,3
万盛东,群芳,7,2
群芳,高楼金,7,2
高楼金,花庄,7,2
花庄,环球度假区,7,3
朱辛庄,育知路,8,3
育知路,平西府,8,3
平西府,回龙观东大街,8,3
回龙观东大街,霍营,8,2
霍营,育新,8,3
育新,西小口,8,3
西小口,永泰庄,8,2
永泰庄,林萃桥,8,3
林萃桥,森林公园南门,8,3
森林公园南门,奥林匹克公园,8,2
奥林匹克公园,奥体中心,8,2
奥体中心,北土城,8,2
北土城,安华桥,8,3
安华桥,安德里北街,8,2
安德里北街,鼓楼大街,8,2
鼓楼大街,什刹海,8,2
什刹海,南锣鼓巷,8,3
南锣鼓巷,中国美术馆,8,2
中国美术馆,金鱼胡同,8,2
金鱼胡同,王府井,8,2
王府井,前门,8,3
前门,珠市口,8,2
珠市口,天桥,8,2
天桥,永定门外,8,3
永定门外,木樨园,8,2
木樨园,海户屯,8,1
海户屯,大红门南,8,4
大红门南,和义,8,3
和义,东高地,8,2
东高地,火箭万源,8,3
火箭万源,五福堂,8,2
五福堂,德茂,8,3
德茂,瀛海,8,2
郭公庄,丰台科技园,9,2
丰台科技园,科怡路,9,2
科怡路,丰台南路,9,2
丰台南路,丰台东大街,9,3
丰台东大街,七里庄,9,2
七里庄,六里桥,9,3
六里桥,六里桥东,9,3
六里桥东,北京西站,9,3
北京西站,军事博物馆,9,3
军事博物馆,白堆子,9,3
白堆子,白石桥南,9,2
白石桥南,国家图书馆,9,2
苏州街,海淀黄庄,10,2
海淀黄庄,知春里,10,2
知春里,知春路,10,2
知春路,西土城,10,2
西土城,牡丹园,10,2
牡丹园,健德门,10,2
健德门,北土城,10,2
北土城,安贞门,10,3
安贞门,惠新西街南口,10,2
惠新西街南口,芍药居,10,3
芍药居,太阳宫,10,2
太阳宫,三元桥,10,3
三元桥,亮马桥,10,2
亮马桥,农业展览馆,10,2
农业展览馆,团结湖,10,2
团结湖,呼家楼,10,2
呼家楼,金台夕照,10,2
金台夕照,国贸,10,2
国贸,双井,10,3
双井,劲松,10,2
劲松,潘家园,10,2
潘家园,十里河,10,2
十里河,分钟寺,10,2
分钟寺,成寿寺,10,2
成寿寺,宋家庄,10,3
宋家庄,石榴庄,10,2
石榴庄,大红门,10,2
大红门,角门东,10,3
角门东,角门西,10,2
角门西,草桥,10,3
草桥,纪家庙,10,2
